Index,Price
2146,26087
2147,26000
2149,35789
2150,20603
2151,42623
2152,20301
2153,36111
2154,17368
2155,59140
2156,15417
2157,20000
2159,17270
2160,41420
2161,8286
2162,6727
2163,16667
2164,46250
2166,20625
2167,54585
2169,9350
2171,30000
2172,19091
2173,36719
2174,22424
2175,23009
2176,21111
2177,52350
2178,22333
2179,16667
2180,19167
2181,17083
2182,25385
2183,26000
2184,9901
2185,14375
2186,21212
2187,22273
2188,15349
2189,21469
2190,15625
2191,27926
2192,16514
2193,5568
2194,18519
2195,16071
2196,56069
2197,15238
2198,26263
2199,5453
2200,18464
2201,23469
2202,7609
2203,13194
2204,16750
2205,5333
2206,20732
2207,35885
2208,12836
2209,23126
2210,4000
2212,16296
2213,25455
2214,18721
2215,17500
2216,43860
2217,37596
2218,45131
2219,25571
2220,15385
2221,23624
2222,18000
2223,15385
2224,19585
2225,27076
2226,15663
2227,16304
2229,18254
2230,46000
2231,18261
2232,17600
2233,36735
2234,18000
2235,6151
2236,25000
2237,6410
2238,65000
2239,15058
2240,28153
2241,13146
2242,24510
2243,14800
2244,22500
2245,17917
2246,61395
2247,16667
2248,48333
2249,11077
2250,19178
2251,26562
2252,7015
2253,16216
2255,32600
2256,18500
2257,27273
2258,14286
2259,6349
2260,19565
2261,17956
2262,17895
2264,24313
2265,17000
2266,22857
2267,35320
2268,17333
2270,56039
2271,8760
2272,22857
2273,28740
2274,40200
2275,24000
2276,25000
2278,18750
2279,24231
2281,18679
2282,14714
2284,17424
2285,16667
2287,23174
2288,4867
2290,36731
2291,6714
2292,17778
2293,17500
2294,22105
2296,18095
2297,24138
2298,20476
2299,23212
2301,13041
2302,20000
2303,48811
2304,21111
2305,17647
2306,14320
2307,16364
2308,14800
2309,20299
2310,20168
2311,22676
2312,17262
2313,12734
2314,24000
2315,12778
2316,12407
2317,19333
2318,5197
2319,31176
2320,25000
2321,25667
2322,25171
2323,60000
2324,30944
2325,29500
2326,22051
2327,41739
2328,16807
2329,34091
2330,22148
2331,20238
2332,49342
2333,33068
2334,22138
2335,14286
2336,9574
2337,19672
2338,62500
2339,28529
2341,18875
2342,22556
2343,15378
2344,15844
2345,15156
2347,23377
2348,36842
2349,5067
2350,20588
2351,20774
2352,23725
2353,8732
2354,16667
2355,19000
2356,19048
2357,24706
2358,20000
2359,22500
2360,19563
2361,18000
2362,19672
2364,60000
2365,10889
2366,7213
2367,20909
2368,20740
2369,28889
2370,17000
2371,11000
2372,41401
2373,21923
2374,22308
2375,20263
2376,26923
2377,31250
2379,23438
2380,9829
2381,3721
2382,16829
2383,14286
2384,17263
2386,21190
2387,31579
2388,9694
2389,16265
2390,46250
2391,37240
2392,25806
2393,67200
2395,15909
2396,7207
2397,5909
2398,24286
2399,14889
2400,32444
2402,23750
2403,42857
2404,8880
2405,10081
2406,27500
2407,24062
2408,7738
2409,27619
2410,12667
